question_id,language,pair_id,source_text,target_text,source_lang,target_lang,question,expected_answer,citation_text,cite_from,difficulty,question_type,register,model,batch_id,generated_date,has_context
es_batch_chatgpt_01_000,es,es_001,"El gobierno anunció ayer nuevas medidas económicas para combatir la inflación, que alcanzó el 8.5% en el último trimestre del año.","The government announced new economic measures yesterday to combat inflation, which reached 8.5% in the last quarter of the year.",es,en,What specific inflation figure is reported in the text?,It states that inflation climbed to 8.5 percent during the final quarter of the year.,reached 8.5% in the last quarter,target,easy,factual,formal,chatgpt,es_batch_chatgpt_01,2025-11-21,yes
es_batch_chatgpt_01_001,es,es_002,"¿Viste el partido anoche? Fue increíble cómo remontaron en los últimos minutos, pensé que todo estaba perdido.","Did you see the game last night? It was incredible how they came back in the final minutes, I thought all was lost.",es,en,"Hey, what was the first thing the speaker asked about?",They wanted to know if the other person had watched the game the previous night.,¿Viste el partido anoche?,source,easy,factual,informal,chatgpt,es_batch_chatgpt_01,2025-11-21,yes
es_batch_chatgpt_01_002,es,es_003,La arquitectura del algoritmo se basa en una red neuronal convolucional de múltiples capas que procesa imágenes a alta resolución.,The algorithm's architecture is based on a multi-layer convolutional neural network that processes high-resolution images.,es,en,"Based on the description of the system, what capability can be inferred about its suitability for detailed visual analysis?","Because it relies on a deep convolutional neural network built to handle high-resolution inputs, it is well suited to tasks requiring fine-grained visual discrimination.",processes high-resolution images,target,medium,reasoning,formal,chatgpt,es_batch_chatgpt_01,2025-11-21,yes
es_batch_chatgpt_01_003,es,es_002,"¿Viste el partido anoche? Fue increíble cómo remontaron en los últimos minutos, pensé que todo estaba perdido.","Did you see the game last night? It was incredible how they came back in the final minutes, I thought all was lost.",es,en,"Given the timing mentioned, what does the text suggest about how late the turnaround happened?","It implies the comeback occurred extremely close to the end, right in the final moments of the match.",en los últimos minutos,source,medium,reasoning,informal,chatgpt,es_batch_chatgpt_01,2025-11-21,yes
es_batch_chatgpt_01_004,es,es_002,"¿Viste el partido anoche? Fue increíble cómo remontaron en los últimos minutos, pensé que todo estaba perdido.","Did you see the game last night? It was incredible how they came back in the final minutes, I thought all was lost.",es,en,"In a formal analysis, how should one interpret the cultural nuance of the sports phrase describing the team's late performance?","The phrase depicts a dramatic reversal typical in Spanish-language sports commentary, emphasizing not merely scoring but an almost narrative comeback that conveys emotional intensity beyond the literal action.",Fue increíble cómo remontaron en los últimos minutos,source,hard,ambiguous,formal,chatgpt,es_batch_chatgpt_01,2025-11-21,yes
es_batch_chatgpt_01_005,es,es_001,"El gobierno anunció ayer nuevas medidas económicas para combatir la inflación, que alcanzó el 8.5% en el último trimestre del año.","The government announced new economic measures yesterday to combat inflation, which reached 8.5% in the last quarter of the year.",es,en,"So if they rolled out those policies yesterday, what do you think that really means for how things might play out, even if the text does not spell it out?","It hints that the government is responding quickly to rising prices, but the real impact of the measures is uncertain and could swing in different directions depending on economic conditions.",announced new economic measures yesterday to combat inflation,target,hard,ambiguous,informal,chatgpt,es_batch_chatgpt_01,2025-11-21,yes
es_batch_chatgpt_02_006,es,es_004,El sol se ocultaba tras las montañas mientras los pájaros cantaban su última melodía del día en el valle silencioso.,The sun was setting behind the mountains as the birds sang their final melody of the day in the silent valley.,es,en,"According to the translation, what natural structure is the sun positioned behind during the scene?","It is positioned behind the mountains, which sets the physical backdrop of the described landscape.",behind the mountains,target,easy,factual,formal,chatgpt,es_batch_chatgpt_02,2025-11-21,yes
es_batch_chatgpt_02_007,es,es_005,"No me vengas con cuentos, ya sé que llegaste tarde porque te quedaste dormido otra vez, siempre es la misma historia.","Don't give me stories, I already know you arrived late because you overslept again, it's always the same thing.",es,en,So why was the guy running late this time?,"He showed up late because he overslept again, repeating the same old pattern.",te quedaste dormido otra vez,source,easy,factual,informal,chatgpt,es_batch_chatgpt_02,2025-11-21,yes
es_batch_chatgpt_02_008,es,es_004,El sol se ocultaba tras las montañas mientras los pájaros cantaban su última melodía del día en el valle silencioso.,The sun was setting behind the mountains as the birds sang their final melody of the day in the silent valley.,es,en,What does the progressive aspect in the text suggest about how the scene unfolds over time?,The progressive verb form suggests that the sunset is an ongoing process occurring gradually rather than a single instantaneous event.,was setting behind the mountains,target,medium,reasoning,formal,chatgpt,es_batch_chatgpt_02,2025-11-21,yes
es_batch_chatgpt_02_009,es,es_005,"No me vengas con cuentos, ya sé que llegaste tarde porque te quedaste dormido otra vez, siempre es la misma historia.","Don't give me stories, I already know you arrived late because you overslept again, it's always the same thing.",es,en,"When someone says 'No me vengas con cuentos', what vibe are they giving off in terms of tone and register?","They are speaking very casually and dismissively, signaling annoyance and implying that the other person is making excuses rather than telling the truth.",No me vengas con cuentos,source,medium,reasoning,informal,chatgpt,es_batch_chatgpt_02,2025-11-21,yes
